pc1,pc2,season
-0.11280119335320286,0.07018126896286597,2024
-0.11275385586790922,0.07464961227344132,2024
-0.12078061030050176,0.061451860879902793,2024
-0.14889717099044997,0.016453414277724336,2024
-0.15257970078396416,0.021528554559879745,2024
-0.12898087857825352,0.012036682458459923,2024
-0.13341461561845674,0.0047366353612957116,2024
-0.18434482960338533,0.004283827686347934,2024
-0.18215398040536196,0.009270144206574966,2024
-0.18356219814300573,0.00966176945358203,2024
-0.049651304763126194,0.1265119681418598,2024
-0.043075095045672376,0.13046656031626364,2024
-0.05340678599782252,0.12105065699680978,2024
-0.07340729745323694,0.17122882452173688,2024
-0.08223526757103429,0.15078860685561932,2024
-0.16210948843830625,0.14505262675878913,2024
-0.15484102461496402,0.1512856786371597,2024
-0.15686601991937438,0.15383202060259593,2024
-0.0829255094298711,-0.212261411978096,2024
-0.08909450196991188,-0.21795741000630375,2024
-0.04993176992587563,0.06673577195292135,2024
-0.03493958536951115,0.07613539888267659,2024
-0.047478629365261274,0.0700728241323478,2024
-0.07693747414312542,0.004153668465800703,2024
-0.09011354669791401,-0.002262309844106851,2024
-0.021307118176159878,-0.023719904290053898,2024
-0.013571448714149462,-0.01154373769076314,2024
0.011708208587710586,-0.0733673631202729,2024
0.0008604272339952507,-0.081776360977053,2024
-0.006620850848976331,-0.1292251377363227,2024
-0.006620850848976331,-0.1292251377363227,2024
-0.01377777666037995,-0.1386951859846475,2024
-0.0330336288199803,-0.19771947631305592,2024
-0.02917411893062291,-0.19728698926609198,2024
-0.031941237631082656,-0.20382595472736695,2024
0.01758939526144826,-0.12500353773020653,2024
0.016272743805589754,-0.1296665495405022,2024
0.016623900212779055,-0.12751062655198364,2024
0.046514077396424075,-0.17629733025963257,2024
-0.016504798917748642,-0.13344936470158897,2024
-0.08193024664663302,-0.17584055229008083,2024
-0.08377634254272966,-0.17539353242513986,2024
-0.08301837555398701,-0.18094040296141506,2024
-0.03443758139996274,-0.07757577965407486,2024
-0.03222417954324387,-0.07924597113516205,2024
-0.02917894142878083,-0.07492284931316773,2024
-0.028561815167205004,-0.1525054083521066,2024
-0.033372712741109936,-0.15136033475643101,2024
-0.030489376612570743,-0.15441295262420973,2024
-0.09532266926468931,-0.1915157711539246,2024
-0.09504858287164324,-0.19071397047261573,2024
-0.0832079006918912,-0.18809962335534783,2024
-0.052926521353141784,-0.14342255596871495,2024
