epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.747,2.39266,0.55197,0.08445,1.68464,2.09058,0.48016,0.72759,0.58923,0.22957,0.53022,0.73931,0.65898,0.60769,1.97972,0.37887,0.02218,1.41854,1.53672,0.000661692,0.000661692,0.000661692
2,33.0985,1.97719,0.41604,0.04922,1.4054,1.64831,0.63085,0.72173,0.70857,0.30154,0.63273,0.75592,0.73812,0.72081,1.91057,0.30151,0.00836,1.29495,1.62008,0.00128452,0.00128452,0.00128452
3,48.8994,1.93659,0.40185,0.03991,1.3542,1.66459,0.65989,0.70698,0.72349,0.32428,0.68662,0.73111,0.76367,0.74412,1.83121,0.28514,0.00917,1.27703,1.5739,0.00186335,0.00186335,0.00186335
4,64.6451,1.9241,0.36032,0.0316,1.30618,1.65044,0.68327,0.72919,0.75,0.32655,0.7062,0.74224,0.77559,0.73848,1.83174,0.29549,0.00563,1.23032,1.56523,0.001802,0.001802,0.001802
5,80.4954,1.87266,0.36534,0.03459,1.26505,1.62551,0.7228,0.72935,0.76437,0.34949,0.74021,0.74692,0.79285,0.77405,1.81744,0.2844,0.00868,1.2266,1.54287,0.001736,0.001736,0.001736
6,96.3002,1.84244,0.36163,0.03543,1.23394,1.6123,0.67629,0.73931,0.77268,0.36502,0.69015,0.77036,0.79817,0.76917,1.7608,0.27845,0.00913,1.18976,1.51416,0.00167,0.00167,0.00167
7,112.064,1.82482,0.40085,0.03473,1.24262,1.57892,0.68974,0.77387,0.79403,0.37208,0.70381,0.78617,0.81022,0.79096,1.73112,0.26176,0.00678,1.15422,1.49827,0.001604,0.001604,0.001604
8,127.913,1.80929,0.32415,0.02581,1.18762,1.58759,0.71287,0.75864,0.79113,0.37384,0.73324,0.78032,0.81574,0.79926,1.73349,0.25097,0.00632,1.13909,1.52604,0.001538,0.001538,0.001538
9,143.704,1.78528,0.32775,0.0293,1.18809,1.58816,0.68493,0.77094,0.79401,0.37557,0.71524,0.78427,0.81689,0.79191,1.7283,0.24379,0.00573,1.14356,1.4836,0.001472,0.001472,0.001472
10,159.427,1.75385,0.31307,0.02325,1.17969,1.53828,0.72835,0.78065,0.81974,0.39435,0.74121,0.79848,0.83976,0.81874,1.69263,0.23779,0.00529,1.11239,1.4771,0.001406,0.001406,0.001406
11,175.362,1.71601,0.30327,0.0289,1.14525,1.51432,0.70828,0.82781,0.82475,0.41105,0.7189,0.8471,0.83883,0.81433,1.67646,0.22776,0.00663,1.0776,1.46203,0.00134,0.00134,0.00134
12,191.256,1.73384,0.32581,0.02813,1.13373,1.51605,0.6968,0.83538,0.82444,0.4111,0.70782,0.84241,0.83591,0.81605,1.65472,0.2354,0.00547,1.09524,1.43419,0.001274,0.001274,0.001274
13,207.047,1.70512,0.3032,0.02882,1.11727,1.48943,0.70344,0.82835,0.82708,0.42638,0.71439,0.84124,0.83672,0.81494,1.63866,0.23175,0.00604,1.06825,1.41763,0.001208,0.001208,0.001208
14,222.831,1.70072,0.29254,0.02418,1.13828,1.49262,0.69338,0.83594,0.82474,0.42841,0.7031,0.84766,0.83148,0.809,1.62174,0.22722,0.00553,1.06075,1.40879,0.001142,0.001142,0.001142
15,238.86,1.65979,0.31142,0.02549,1.12524,1.46519,0.73738,0.81781,0.83756,0.42794,0.74319,0.82425,0.84577,0.82464,1.62711,0.22715,0.00454,1.05681,1.43737,0.001076,0.001076,0.001076
16,254.695,1.64068,0.291,0.0266,1.09024,1.45309,0.74864,0.85003,0.85616,0.45419,0.7588,0.86621,0.86329,0.84085,1.59753,0.21536,0.00593,1.01402,1.39815,0.00101,0.00101,0.00101
17,270.483,1.6592,0.31065,0.02879,1.08105,1.46332,0.73802,0.84164,0.84489,0.44231,0.75263,0.84534,0.85093,0.82912,1.60915,0.2206,0.00664,1.03148,1.39664,0.000944,0.000944,0.000944
18,286.206,1.62053,0.31223,0.02699,1.06704,1.44801,0.75859,0.85354,0.86908,0.47053,0.76505,0.86414,0.8717,0.84939,1.55064,0.21005,0.00517,0.99799,1.37928,0.000878,0.000878,0.000878
19,302.057,1.62648,0.29851,0.0252,1.07367,1.45158,0.74258,0.84183,0.86122,0.47309,0.74782,0.84777,0.86515,0.84747,1.53707,0.21288,0.00499,1.01086,1.35475,0.000812,0.000812,0.000812
20,317.78,1.61331,0.29527,0.02913,1.0757,1.43206,0.73541,0.86643,0.86784,0.48378,0.74593,0.86819,0.8714,0.84777,1.5094,0.2148,0.00466,0.99967,1.35424,0.000746,0.000746,0.000746
21,351.827,1.5775,0.2875,0.03146,1.05405,1.41911,0.74122,0.86585,0.87092,0.49805,0.73978,0.86526,0.87315,0.85419,1.5029,0.208,0.00484,0.9755,1.34124,0.00068,0.00068,0.00068
22,367.727,1.58128,0.2863,0.02735,1.05343,1.41437,0.75,0.86116,0.87643,0.50325,0.75812,0.86643,0.88012,0.85969,1.4935,0.208,0.00411,0.97432,1.3382,0.000614,0.000614,0.000614
23,383.461,1.56574,0.29134,0.02728,1.04526,1.40538,0.75274,0.86526,0.87301,0.49082,0.75545,0.87053,0.87737,0.86039,1.51392,0.2036,0.00482,0.97648,1.35467,0.000548,0.000548,0.000548
24,399.424,1.55389,0.26178,0.02903,1.03037,1.38907,0.74457,0.86702,0.87786,0.5076,0.75298,0.87229,0.8828,0.86378,1.47427,0.20209,0.00493,0.95632,1.33624,0.000482,0.000482,0.000482
