iteration,selected_index,min_distance,max_distance,mean_distance
1,1731,0.0,0.7814010700283496,0.5089494827630963
2,3021,0.0,0.716202312214671,0.4959685585743041
3,746,0.0,0.616096747190942,0.4378691175426859
4,2396,0.0,0.593168106856643,0.4368119016969659
5,919,0.0,0.5896231540886725,0.43112961599347205
6,1190,0.0,0.570328799217118,0.4181891438560266
7,1962,0.0,0.5693371366944846,0.40779825013329746
8,1870,0.0,0.5637267108806875,0.4056439956138885
9,1382,0.0,0.5355774184831339,0.4033135610425389
10,2142,0.0,0.5325530001599275,0.394558313104628
11,2831,0.0,0.5160338658402672,0.3906039087992772
12,1253,0.0,0.514359474661373,0.3847374697443572
13,303,0.0,0.4975320899444847,0.3838053490855238
14,2045,0.0,0.4941830926730153,0.38073749504987087
15,2663,0.0,0.4914758641673423,0.37797315445148094
16,2374,0.0,0.48818067273205984,0.376184095437196
17,775,0.0,0.4865833724327107,0.37459369395714004
18,1533,0.0,0.4811412605821842,0.37296794406315914
19,2497,0.0,0.474528117542942,0.3683377234430082
20,1290,0.0,0.4745176344760732,0.3622408158533142
21,1908,0.0,0.4688379760694742,0.36033700036346183
22,28,0.0,0.46840495894859063,0.35932328467259256
23,1761,0.0,0.46580820202579526,0.35688785474270673
24,61,0.0,0.4621394726230606,0.3543033793134452
25,402,0.0,0.4613154484114567,0.35355674172703405
26,2506,0.0,0.4607674395449974,0.3513644117135875
27,2620,0.0,0.4559470335637226,0.34861874771564677
28,315,0.0,0.4552634145625852,0.3476949549738821
29,2780,0.0,0.44675588047101594,0.34626995682553846
30,1150,0.0,0.4430552788948279,0.3456180261689186
31,856,0.0,0.4428830378027118,0.3442689726526478
32,2225,0.0,0.44185145985281726,0.3407094145820766
33,18,0.0,0.4417761999216503,0.339599553881045
34,1,0.0,0.44038812205150485,0.33800210720453044
35,2345,0.0,0.4353153331857513,0.3373266598883089
36,1716,0.0,0.4347565994122787,0.3365030388588559
37,3028,0.0,0.4345217524650137,0.335198878537175
38,2657,0.0,0.4330424177427379,0.3335895060366413
39,2830,0.0,0.43186935998601134,0.33245407680234
40,1782,0.0,0.42853140195238154,0.3307042278585904
41,934,0.0,0.426538436393815,0.3300612097547027
42,780,0.0,0.4242843745812055,0.3286648272297839
43,2747,0.0,0.42415457087422015,0.327862241732577
44,166,0.0,0.4209688940526821,0.32741814425470134
45,153,0.0,0.4186051890538332,0.3264665831570759
46,1085,0.0,0.41781968689985544,0.32500407279675986
47,201,0.0,0.4176094995134798,0.3245387579609842
48,685,0.0,0.41727620242721986,0.32318319460372097
49,1351,0.0,0.41513253357428076,0.3221992984808449
50,2391,0.0,0.4141664047119885,0.3215878064017858
51,1583,0.0,0.41363300488231747,0.31966985529220016
52,458,0.0,0.40978830485642215,0.31915346651882986
53,480,0.0,0.40902969042218207,0.3183929263900469
54,628,0.0,0.4073316005023286,0.31710698426437006
55,2920,0.0,0.4068484167603262,0.3165375544806663
56,2150,0.0,0.40649030193914226,0.31556268010230853
57,1955,0.0,0.40629142389699224,0.3143772339670907
58,407,0.0,0.40510789196706853,0.3134189532200159
59,259,0.0,0.40406072303776885,0.3126507699849577
