image_path,basename,mean_brightness,std_brightness
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_111_1801-jpg_gamma_jpg.rf.74484f4cccb992d4cd5c3f42a4abafc7.jpg,GX010065_111_1801-jpg_gamma_jpg.rf.74484f4cccb992d4cd5c3f42a4abafc7.jpg,123.34484375,63.124905578668894
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_111_1801-jpg_gamma_jpg.rf.a3c09eaeaeba5b0db290366006e81bfd.jpg,GX010065_111_1801-jpg_gamma_jpg.rf.a3c09eaeaeba5b0db290366006e81bfd.jpg,123.34906684027777,63.083467473553256
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_111_1801-jpg_gamma_jpg.rf.c3fb8be8aac24044c73f6042f5a5337a.jpg,GX010065_111_1801-jpg_gamma_jpg.rf.c3fb8be8aac24044c73f6042f5a5337a.jpg,123.35444444444444,63.133857555437295
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_112_1806-jpg_gamma_jpg.rf.47e50160b3f2dbd540948edcf39f5258.jpg,GX010065_112_1806-jpg_gamma_jpg.rf.47e50160b3f2dbd540948edcf39f5258.jpg,122.62490885416666,65.37851592043603
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_112_1806-jpg_gamma_jpg.rf.713217dbcc0c0f4fc680b79ba44e871d.jpg,GX010065_112_1806-jpg_gamma_jpg.rf.713217dbcc0c0f4fc680b79ba44e871d.jpg,122.60812934027778,65.43744256649241
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_113_1811-jpg_gamma_jpg.rf.173530a83acaf21c4a75d4894b75ae55.jpg,GX010065_113_1811-jpg_gamma_jpg.rf.173530a83acaf21c4a75d4894b75ae55.jpg,118.81468315972222,65.35596057092174
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_113_1811-jpg_gamma_jpg.rf.f546b3fa4578e1573f935117a2087fc0.jpg,GX010065_113_1811-jpg_gamma_jpg.rf.f546b3fa4578e1573f935117a2087fc0.jpg,118.80302951388889,65.34044900017345
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_114_1817-jpg_gamma_jpg.rf.1bbe6fe257a71016f499bd1c005098a7.jpg,GX010065_114_1817-jpg_gamma_jpg.rf.1bbe6fe257a71016f499bd1c005098a7.jpg,112.49680121527778,64.48099827913128
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_114_1817-jpg_gamma_jpg.rf.e5b137bfc21f72fdc82840a013de6bb7.jpg,GX010065_114_1817-jpg_gamma_jpg.rf.e5b137bfc21f72fdc82840a013de6bb7.jpg,112.50101996527778,64.52231437866372
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_115_1826-jpg_gamma_jpg.rf.5d1990361ebd940b8c664254946cce59.jpg,GX010065_115_1826-jpg_gamma_jpg.rf.5d1990361ebd940b8c664254946cce59.jpg,106.25578993055555,62.57683191638886
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_115_1826-jpg_gamma_jpg.rf.7ee7e73d4a424f507961e877018c09e7.jpg,GX010065_115_1826-jpg_gamma_jpg.rf.7ee7e73d4a424f507961e877018c09e7.jpg,106.25578993055555,62.57683191638886
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_115_1826-jpg_gamma_jpg.rf.b3569ee8eccd8ff8fcf38df646af401d.jpg,GX010065_115_1826-jpg_gamma_jpg.rf.b3569ee8eccd8ff8fcf38df646af401d.jpg,106.27675347222223,62.66624546524276
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_116_1837-jpg_gamma_jpg.rf.7fafb9db01f8ad3e3db5bf0c494de5d2.jpg,GX010065_116_1837-jpg_gamma_jpg.rf.7fafb9db01f8ad3e3db5bf0c494de5d2.jpg,103.938359375,60.808081894574165
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_116_1837-jpg_gamma_jpg.rf.b36534459718d6cdf19cd20bb16d542e.jpg,GX010065_116_1837-jpg_gamma_jpg.rf.b36534459718d6cdf19cd20bb16d542e.jpg,103.92066840277778,60.732407002498476
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_116_1837-jpg_gamma_jpg.rf.dcb3ef087d81c7120b9a57ff617abe75.jpg,GX010065_116_1837-jpg_gamma_jpg.rf.dcb3ef087d81c7120b9a57ff617abe75.jpg,103.95622829861111,60.83882393752082
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_117_1857-jpg_gamma_jpg.rf.2eb7ad6ed9961e2fade42e6303e12264.jpg,GX010065_117_1857-jpg_gamma_jpg.rf.2eb7ad6ed9961e2fade42e6303e12264.jpg,103.55634548611111,59.594953868386234
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_117_1857-jpg_gamma_jpg.rf.55fa4d2ae36f49ef0f127f8f0e625013.jpg,GX010065_117_1857-jpg_gamma_jpg.rf.55fa4d2ae36f49ef0f127f8f0e625013.jpg,103.57168836805556,59.67229685389655
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_117_1857-jpg_gamma_jpg.rf.8b51a93784043592b71e4e40da165ebb.jpg,GX010065_117_1857-jpg_gamma_jpg.rf.8b51a93784043592b71e4e40da165ebb.jpg,103.55843315972223,59.61416405563325
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_118_1870-jpg_gamma_jpg.rf.57051f082d53dc8e33e5801f1c17de27.jpg,GX010065_118_1870-jpg_gamma_jpg.rf.57051f082d53dc8e33e5801f1c17de27.jpg,104.88055555555556,59.830356562183596
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_119_1879-jpg_gamma_jpg.rf.58831db3b286a7300928bc0f22e6cf04.jpg,GX010065_119_1879-jpg_gamma_jpg.rf.58831db3b286a7300928bc0f22e6cf04.jpg,108.95118489583334,62.73701288997141
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_11_310-jpg_gamma_jpg.rf.012d1ba36d0a5df41e8b97e91a273714.jpg,GX010065_11_310-jpg_gamma_jpg.rf.012d1ba36d0a5df41e8b97e91a273714.jpg,129.85495225694444,57.685700798409506
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_11_310-jpg_gamma_jpg.rf.74408bd3a3da04e0327ffcb280689af3.jpg,GX010065_11_310-jpg_gamma_jpg.rf.74408bd3a3da04e0327ffcb280689af3.jpg,129.8529513888889,57.6532163833455
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_11_310-jpg_gamma_jpg.rf.77036920bb7a0f7bf7e37799e5f527ea.jpg,GX010065_11_310-jpg_gamma_jpg.rf.77036920bb7a0f7bf7e37799e5f527ea.jpg,129.8506206597222,57.72476713249
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_126_1969-jpg_gamma_jpg.rf.17c35ebef21cbf2eafe3afcb6c28ad5a.jpg,GX010065_126_1969-jpg_gamma_jpg.rf.17c35ebef21cbf2eafe3afcb6c28ad5a.jpg,105.38688368055556,57.00407880000487
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_126_1969-jpg_gamma_jpg.rf.4def8cace0a3e6d1f8c6a500c4f950a3.jpg,GX010065_126_1969-jpg_gamma_jpg.rf.4def8cace0a3e6d1f8c6a500c4f950a3.jpg,105.36764322916666,56.973472818050176
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_126_1969-jpg_gamma_jpg.rf.8c770d69ec876550ae95958afbded400.jpg,GX010065_126_1969-jpg_gamma_jpg.rf.8c770d69ec876550ae95958afbded400.jpg,105.36524305555555,56.90347257646382
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_127_1988-jpg_gamma_jpg.rf.5445ef517dd32409d044bbf801633004.jpg,GX010065_127_1988-jpg_gamma_jpg.rf.5445ef517dd32409d044bbf801633004.jpg,102.33997395833333,55.58049381489567
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_127_1988-jpg_gamma_jpg.rf.b469af0e29f1292a88df4d9d628e66ff.jpg,GX010065_127_1988-jpg_gamma_jpg.rf.b469af0e29f1292a88df4d9d628e66ff.jpg,102.36295138888889,55.653865191321145
