epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.10909,1.42697,0.32314,0.04239,1.0304,1.28164,0.80563,0.79872,0.89848,0.55338,0.80826,0.8,0.89527,0.87524,1.36672,0.25227,0.00844,0.98122,1.21174,0.000656716,0.000656716,0.000656716
2,18.0144,1.45841,0.35469,0.03211,1.07214,1.29701,0.78524,0.76923,0.86342,0.52551,0.79355,0.77179,0.86947,0.85086,1.38283,0.24859,0.00767,1.04881,1.21272,0.00129063,0.00129063,0.00129063
3,26.8259,1.47456,0.34655,0.04265,1.08116,1.30071,0.76603,0.82308,0.88386,0.53944,0.7863,0.81923,0.88617,0.84422,1.39867,0.25777,0.00651,0.9953,1.24351,0.00189154,0.00189154,0.00189154
4,36.098,1.44677,0.34436,0.02867,1.05466,1.28718,0.78398,0.87051,0.90333,0.53829,0.78813,0.86799,0.90471,0.87978,1.41369,0.25751,0.00766,0.9813,1.23573,0.0018515,0.0018515,0.0018515
5,44.8601,1.44926,0.31925,0.03258,1.02785,1.2831,0.79631,0.85128,0.91469,0.55862,0.81455,0.83903,0.91166,0.88163,1.36589,0.23283,0.00673,0.95017,1.21518,0.001802,0.001802,0.001802
6,53.8036,1.44947,0.31003,0.03412,1.01981,1.2945,0.81977,0.8572,0.91659,0.56269,0.82651,0.86117,0.92031,0.8918,1.32983,0.22679,0.00689,0.93535,1.21386,0.0017525,0.0017525,0.0017525
7,62.6536,1.39135,0.28585,0.03061,0.97534,1.25514,0.79419,0.82308,0.89297,0.54325,0.8024,0.82564,0.89803,0.87996,1.35434,0.22794,0.00554,0.96423,1.18786,0.001703,0.001703,0.001703
8,71.4454,1.43156,0.29724,0.02431,1.00534,1.28455,0.84483,0.85256,0.92169,0.57509,0.84737,0.85513,0.92574,0.903,1.34044,0.21933,0.00645,0.91027,1.20583,0.0016535,0.0016535,0.0016535
9,80.2913,1.40208,0.31094,0.03833,0.98204,1.27078,0.83531,0.87136,0.92957,0.58172,0.83654,0.87265,0.93307,0.91433,1.30705,0.21681,0.00594,0.88031,1.19801,0.001604,0.001604,0.001604
10,89.1183,1.36693,0.26905,0.03389,0.97363,1.24052,0.81956,0.90513,0.93077,0.59141,0.82077,0.90417,0.93294,0.91752,1.29244,0.20867,0.00504,0.88024,1.17645,0.0015545,0.0015545,0.0015545
11,97.9458,1.35441,0.27543,0.03029,0.94613,1.23255,0.82613,0.88326,0.93149,0.59595,0.82253,0.87941,0.92991,0.91344,1.28327,0.2009,0.00503,0.86485,1.15709,0.001505,0.001505,0.001505
12,106.76,1.32809,0.26088,0.03818,0.91024,1.21221,0.82436,0.86795,0.93053,0.57993,0.82558,0.86923,0.92657,0.9058,1.28958,0.21887,0.00536,0.87664,1.15116,0.0014555,0.0014555,0.0014555
13,115.627,1.33695,0.29252,0.02679,0.9227,1.21565,0.87767,0.8554,0.9451,0.61478,0.87372,0.85156,0.94296,0.92879,1.23074,0.19375,0.00657,0.83236,1.13789,0.001406,0.001406,0.001406
14,124.503,1.31181,0.29285,0.0276,0.92311,1.21267,0.86659,0.89487,0.94567,0.62563,0.86659,0.89487,0.94589,0.93157,1.20989,0.18791,0.00784,0.82478,1.14037,0.0013565,0.0013565,0.0013565
15,133.329,1.25232,0.26438,0.02856,0.88358,1.16874,0.86624,0.88006,0.9481,0.64257,0.86624,0.88006,0.94695,0.93597,1.19376,0.1772,0.00684,0.81035,1.1278,0.001307,0.001307,0.001307
16,142.174,1.2488,0.23151,0.03147,0.86108,1.17567,0.84799,0.89103,0.94137,0.63362,0.85125,0.89487,0.94611,0.93,1.19668,0.18124,0.00573,0.80808,1.1383,0.0012575,0.0012575,0.0012575
17,150.839,1.25968,0.23217,0.02551,0.83926,1.17417,0.82636,0.92131,0.94367,0.65283,0.82642,0.92436,0.94473,0.93632,1.13401,0.17364,0.00425,0.77384,1.10431,0.001208,0.001208,0.001208
18,159.542,1.21651,0.22482,0.02269,0.83117,1.16396,0.86458,0.93974,0.95578,0.65338,0.86496,0.94103,0.9564,0.94765,1.14536,0.16448,0.00417,0.76819,1.11651,0.0011585,0.0011585,0.0011585
19,168.272,1.24623,0.24355,0.03023,0.84054,1.16882,0.89627,0.88333,0.95616,0.66465,0.89627,0.88333,0.95616,0.94795,1.11313,0.16962,0.0045,0.7601,1.08808,0.001109,0.001109,0.001109
20,177.743,1.21789,0.22848,0.04322,0.83282,1.15207,0.88303,0.91538,0.96043,0.67745,0.88303,0.91538,0.96104,0.95195,1.06966,0.16299,0.0042,0.74562,1.07411,0.0010595,0.0010595,0.0010595
21,186.512,1.19194,0.23623,0.02962,0.80987,1.14135,0.83891,0.93462,0.96097,0.68558,0.84017,0.93674,0.96127,0.95162,1.07526,0.16398,0.00489,0.73453,1.06714,0.00101,0.00101,0.00101
