epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.44816,1.27358,0.46999,0.07272,1.02286,1.17663,0.78704,0.90973,0.92025,0.61513,0.78704,0.90973,0.92025,0.90635,1.24822,0.3165,0.02738,0.98605,1.13995,0.00016,0.00016,0.00016
2,3.04389,1.37973,0.63163,0.0652,1.06724,1.18599,0.77209,0.87692,0.91159,0.62925,0.77209,0.87692,0.91159,0.89658,1.29426,0.31757,0.02579,0.98,1.16373,0.000331585,0.000331585,0.000331585
3,4.50588,1.40188,0.55933,0.099,1.08034,1.23342,0.787,0.87692,0.90429,0.58355,0.787,0.87692,0.90429,0.87143,1.34611,0.33017,0.0227,0.99446,1.17123,0.00049426,0.00049426,0.00049426
4,5.88975,1.36642,0.45648,0.05294,1.09442,1.18465,0.84226,0.89231,0.92614,0.58724,0.84226,0.89231,0.92614,0.88299,1.33277,0.34883,0.02232,0.94612,1.15224,0.000648025,0.000648025,0.000648025
5,7.26177,1.53863,0.35478,0.03924,1.05969,1.35229,0.83224,0.89231,0.93287,0.5706,0.83224,0.89231,0.93287,0.90038,1.42664,0.31995,0.02258,0.92877,1.15782,0.00079288,0.00079288,0.00079288
6,8.64607,1.4063,0.40021,0.04768,1.06154,1.25826,0.87068,0.83077,0.93623,0.5755,0.87068,0.83077,0.93623,0.91135,1.39029,0.3012,0.02188,0.94237,1.163,0.000928825,0.000928825,0.000928825
7,10.0216,1.44887,0.40501,0.09986,1.06352,1.23804,0.85091,0.83077,0.9363,0.59071,0.85091,0.83077,0.9363,0.89795,1.36165,0.32635,0.02068,0.92463,1.14199,0.00105586,0.00105586,0.00105586
8,11.3956,1.54627,0.47002,0.04221,1.12181,1.29351,0.90788,0.83077,0.94414,0.63639,0.90788,0.83077,0.94414,0.86251,1.27225,0.41253,0.02052,0.84391,1.08664,0.00117399,0.00117399,0.00117399
9,12.7707,1.30704,0.47181,0.03915,0.91865,1.17296,0.84855,0.96923,0.94925,0.62389,0.84855,0.96923,0.94925,0.84488,1.2636,0.45822,0.02053,0.8528,1.09139,0.0012832,0.0012832,0.0012832
10,14.2997,1.39636,0.42214,0.02602,0.95306,1.28318,0.84153,0.92308,0.94006,0.6432,0.84153,0.92308,0.94006,0.87772,1.25065,0.36349,0.02036,0.87876,1.11113,0.00138351,0.00138351,0.00138351
11,15.7401,1.36722,0.36282,0.05325,0.96666,1.18234,0.92207,0.89231,0.95499,0.63915,0.92207,0.89231,0.95499,0.88021,1.31144,0.32809,0.02019,0.88845,1.1334,0.0014749,0.0014749,0.0014749
12,17.1921,1.42506,0.38377,0.04117,0.98637,1.18789,0.87354,0.95646,0.9658,0.62399,0.87354,0.95646,0.9658,0.91331,1.30226,0.30557,0.02159,0.85331,1.13425,0.0014555,0.0014555,0.0014555
13,18.6284,1.26305,0.34541,0.04999,0.89642,1.16171,0.90794,0.91045,0.96744,0.6075,0.90794,0.91045,0.96744,0.91217,1.34468,0.3047,0.02167,0.90813,1.14124,0.001406,0.001406,0.001406
14,20.017,1.33814,0.32069,0.07537,0.9803,1.18246,0.90794,0.91045,0.96744,0.6075,0.90794,0.91045,0.96744,0.91217,1.34468,0.3047,0.02167,0.90813,1.14124,0.0013565,0.0013565,0.0013565
15,21.5152,1.24434,0.33679,0.04595,0.85703,1.12837,0.8958,0.96923,0.96906,0.65534,0.8958,0.96923,0.96906,0.9114,1.24539,0.27974,0.02073,0.85712,1.11579,0.001307,0.001307,0.001307
16,22.9587,1.2232,0.31591,0.05197,0.83353,1.18344,0.89726,0.95385,0.97227,0.7046,0.89726,0.95385,0.97227,0.91583,1.11681,0.26053,0.02043,0.79739,1.08082,0.0012575,0.0012575,0.0012575
17,24.4036,1.20863,0.31566,0.05552,0.91808,1.15001,0.88006,0.93846,0.9739,0.71807,0.88006,0.93846,0.9739,0.93418,1.07136,0.23941,0.02003,0.75698,1.06773,0.001208,0.001208,0.001208
18,25.8439,1.22194,0.27547,0.02048,0.86184,1.1293,0.8848,0.94539,0.97007,0.68797,0.8848,0.94539,0.97007,0.95295,1.13269,0.1979,0.0201,0.76451,1.08257,0.0011585,0.0011585,0.0011585
19,27.2334,1.14763,0.38625,0.03717,0.75405,1.08768,0.90079,0.97789,0.97723,0.70974,0.90079,0.97789,0.97723,0.96782,1.07204,0.18745,0.02125,0.74071,1.07541,0.001109,0.001109,0.001109
20,28.6769,1.24069,0.33326,0.08201,0.84411,1.16753,0.90079,0.97789,0.97723,0.70974,0.90079,0.97789,0.97723,0.96782,1.07204,0.18745,0.02125,0.74071,1.07541,0.0010595,0.0010595,0.0010595
21,30.1186,1.19176,0.18644,0.03307,0.82328,1.12949,0.90039,0.98462,0.97905,0.66872,0.90039,0.98462,0.97905,0.9694,1.18563,0.19272,0.02147,0.76425,1.0973,0.00101,0.00101,0.00101
22,31.5033,1.30557,0.37288,0.01841,0.84979,1.11772,0.89668,0.96923,0.97889,0.65965,0.89668,0.96923,0.97889,0.9764,1.15777,0.19275,0.01999,0.73208,1.07725,0.0009605,0.0009605,0.0009605
23,32.8752,1.23868,0.34157,0.02689,0.78402,1.12032,0.87366,0.98462,0.97825,0.71297,0.87366,0.98462,0.97825,0.97567,1.03639,0.19242,0.01766,0.68752,1.04669,0.000911,0.000911,0.000911
24,34.3159,1.11142,0.25839,0.08736,0.82306,1.08825,0.894,0.98462,0.98054,0.71989,0.894,0.98462,0.98054,0.97225,1.01715,0.18124,0.01695,0.67518,1.03603,0.0008615,0.0008615,0.0008615
25,35.7725,1.03627,0.25718,0.0174,0.76442,1.05738,0.894,0.98462,0.98054,0.71989,0.894,0.98462,0.98054,0.97225,1.01715,0.18124,0.01695,0.67518,1.03603,0.000812,0.000812,0.000812
26,37.2068,1.16316,0.31613,0.06599,0.8085,1.10475,0.90507,0.98462,0.98162,0.72701,0.90507,0.98462,0.98162,0.97893,1.06107,0.166,0.01706,0.66955,1.04147,0.0007625,0.0007625,0.0007625
27,38.6523,1.05581,0.208,0.03812,0.72552,1.1061,0.91915,0.98462,0.98246,0.73403,0.91915,0.98462,0.98246,0.97844,1.04823,0.14354,0.01814,0.65578,1.03515,0.000713,0.000713,0.000713
28,40.1999,1.03303,0.24791,0.02117,0.773,1.08935,0.90393,0.98462,0.98336,0.75108,0.90393,0.98462,0.98336,0.9823,1.01597,0.1321,0.01811,0.64469,1.03178,0.0006635,0.0006635,0.0006635
29,41.6363,1.05909,0.22168,0.04422,0.76789,1.09256,0.89931,0.98462,0.9846,0.76184,0.89931,0.98462,0.9846,0.98347,0.99866,0.12682,0.01794,0.64194,1.02618,0.000614,0.000614,0.000614
30,43.1139,1.0094,0.24857,0.04075,0.74934,1.05237,0.88681,0.98462,0.98542,0.75924,0.88681,0.98462,0.98542,0.98425,0.97572,0.12931,0.01647,0.62184,1.01233,0.0005645,0.0005645,0.0005645
31,63.2852,1.05477,0.28336,0.04955,0.75679,1.09231,0.88681,0.98462,0.98542,0.75924,0.88681,0.98462,0.98542,0.98425,0.97572,0.12931,0.01647,0.62184,1.01233,0.000515,0.000515,0.000515
32,64.6761,1.0128,0.22269,0.02734,0.71777,1.06487,0.89212,0.98462,0.98601,0.75767,0.89212,0.98462,0.98601,0.98475,0.95516,0.13698,0.01561,0.59461,1.00122,0.0004655,0.0004655,0.0004655
