epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7835,1.21852,0.2725,0.02951,0.83864,1.13184,0.86713,0.89523,0.94318,0.62314,0.86742,0.8975,0.9453,0.93616,1.15578,0.14317,0.00327,0.78429,1.0661,0.000656716,0.000656716,0.000656716
2,41.9181,1.33283,0.21666,0.03794,0.88121,1.19305,0.87209,0.9,0.95035,0.60595,0.87874,0.90256,0.95315,0.94237,1.24585,0.15303,0.00425,0.80128,1.11127,0.00129132,0.00129132,0.00129132
3,53.7759,1.36814,0.2236,0.03737,0.92329,1.21001,0.86429,0.9,0.954,0.5888,0.87718,0.90385,0.95714,0.94254,1.28126,0.15945,0.00311,0.85906,1.15459,0.00180192,0.00180192,0.00180192
4,65.6913,1.38096,0.23566,0.02586,0.95299,1.24108,0.85317,0.91923,0.93391,0.5836,0.86505,0.92692,0.94444,0.92905,1.26706,0.17359,0.00487,0.81206,1.14717,0.00159191,0.00159191,0.00159191
5,77.5776,1.35536,0.21401,0.02527,0.9025,1.19298,0.86118,0.92179,0.95031,0.62771,0.86518,0.92564,0.9541,0.94331,1.17601,0.15422,0.00425,0.80018,1.09286,0.00131593,0.00131593,0.00131593
6,89.5716,1.27558,0.18616,0.02723,0.86041,1.16415,0.91097,0.91832,0.97405,0.65083,0.91306,0.91923,0.97505,0.96794,1.17273,0.13911,0.00355,0.74218,1.09965,0.00101,0.00101,0.00101
7,101.564,1.21794,0.16861,0.01971,0.80454,1.14524,0.93659,0.92949,0.97773,0.70105,0.93919,0.93072,0.9783,0.97616,1.03322,0.12777,0.00341,0.68954,1.0445,0.000704073,0.000704073,0.000704073
8,113.626,1.16902,0.17091,0.02914,0.74755,1.12018,0.94055,0.93308,0.98026,0.71264,0.94185,0.93436,0.981,0.97828,0.99736,0.12037,0.00265,0.64527,1.027,0.000428093,0.000428093,0.000428093
9,125.744,1.11785,0.14966,0.02893,0.74019,1.08934,0.93517,0.94872,0.98161,0.73164,0.93643,0.95,0.9825,0.98063,0.95854,0.11515,0.00241,0.6387,1.01076,0.000209073,0.000209073,0.000209073
10,137.943,1.0955,0.1513,0.02191,0.71433,1.07068,0.92755,0.95206,0.98239,0.74101,0.9288,0.95334,0.98333,0.98101,0.93808,0.11183,0.00234,0.62719,1.00393,6.8454e-05,6.8454e-05,6.8454e-05
