epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5905,1.50448,0.30494,0.02603,1.00116,1.37189,0.72419,0.88516,0.86089,0.50391,0.7252,0.88641,0.86585,0.83845,1.46548,0.22355,0.00341,0.96616,1.30677,0.000661692,0.000661692,0.000661692
2,34.5334,1.56801,0.28961,0.03089,1.01398,1.41009,0.74844,0.88951,0.86906,0.48396,0.75824,0.89261,0.8754,0.84678,1.51188,0.21544,0.00407,0.98566,1.35808,0.00129548,0.00129548,0.00129548
3,51.3392,1.55795,0.28838,0.02798,1.03264,1.41581,0.78028,0.86406,0.88366,0.47528,0.78204,0.85971,0.88582,0.86342,1.52105,0.21515,0.00476,0.96777,1.35937,0.00189627,0.00189627,0.00189627
4,68.2551,1.56945,0.25471,0.02537,1.05804,1.40907,0.77416,0.88305,0.89241,0.47948,0.78208,0.87958,0.89956,0.88607,1.51134,0.2045,0.00452,0.94609,1.36385,0.0018515,0.0018515,0.0018515
5,85.1808,1.56533,0.26243,0.02624,1.02252,1.4083,0.77824,0.87834,0.89531,0.51141,0.78209,0.88268,0.89775,0.88228,1.44839,0.20517,0.00403,0.97359,1.30929,0.001802,0.001802,0.001802
6,102.066,1.52851,0.27543,0.02688,0.98858,1.38547,0.80645,0.8982,0.91095,0.52753,0.81267,0.90068,0.9145,0.89541,1.43499,0.18696,0.00504,0.89674,1.3056,0.0017525,0.0017525,0.0017525
7,118.979,1.49339,0.26351,0.02443,0.96711,1.35964,0.80973,0.90999,0.91307,0.51752,0.80752,0.90751,0.91443,0.89775,1.42713,0.18558,0.00271,0.93529,1.30627,0.001703,0.001703,0.001703
8,135.891,1.45813,0.23224,0.02484,0.94425,1.33954,0.82654,0.88268,0.91768,0.5446,0.82806,0.8849,0.92045,0.903,1.39628,0.1744,0.00282,0.85613,1.29195,0.0016535,0.0016535,0.0016535
9,152.854,1.46896,0.25203,0.02386,0.94464,1.34644,0.84294,0.88268,0.92306,0.56138,0.84432,0.8854,0.92247,0.90719,1.36603,0.17196,0.00371,0.84407,1.2536,0.001604,0.001604,0.001604
10,169.881,1.45161,0.24871,0.02658,0.93766,1.32362,0.82022,0.90565,0.924,0.56689,0.82415,0.90999,0.92548,0.91224,1.36181,0.17903,0.00433,0.87568,1.27201,0.0015545,0.0015545,0.0015545
11,187.119,1.41923,0.22783,0.02086,0.90363,1.31578,0.8406,0.91655,0.93417,0.57266,0.84003,0.91593,0.93431,0.92404,1.36819,0.15903,0.00426,0.81138,1.24607,0.001505,0.001505,0.001505
12,204.102,1.41161,0.20942,0.02116,0.88909,1.30714,0.83536,0.91653,0.93049,0.56325,0.83514,0.91505,0.93187,0.92331,1.34521,0.14848,0.00366,0.82496,1.25858,0.0014555,0.0014555,0.0014555
13,221.17,1.39934,0.20893,0.0312,0.88782,1.30463,0.85181,0.92053,0.93951,0.58003,0.85326,0.92055,0.94135,0.93235,1.33811,0.15107,0.00421,0.78966,1.2508,0.001406,0.001406,0.001406
14,238.137,1.37278,0.19785,0.02782,0.86681,1.28079,0.84839,0.928,0.93749,0.59831,0.85012,0.92593,0.93827,0.92645,1.28795,0.14877,0.00305,0.77738,1.22321,0.0013565,0.0013565,0.0013565
15,255.131,1.36662,0.20945,0.02081,0.85832,1.2674,0.82605,0.93234,0.92269,0.58064,0.83054,0.93095,0.92354,0.91098,1.2926,0.14901,0.0034,0.81311,1.22717,0.001307,0.001307,0.001307
16,272.009,1.3493,0.21331,0.02391,0.84874,1.26969,0.83046,0.93669,0.93789,0.60793,0.83288,0.93793,0.9389,0.93289,1.26283,0.1405,0.0026,0.76277,1.20591,0.0012575,0.0012575,0.0012575
17,289.071,1.32852,0.19496,0.02098,0.83998,1.24819,0.82022,0.93171,0.93321,0.59869,0.82198,0.93436,0.93435,0.92583,1.27141,0.14156,0.0029,0.7771,1.21337,0.001208,0.001208,0.001208
18,306.039,1.32081,0.20119,0.0214,0.82657,1.25797,0.84619,0.92241,0.94209,0.62275,0.84855,0.92365,0.94658,0.93903,1.21832,0.14054,0.00322,0.74787,1.18982,0.0011585,0.0011585,0.0011585
19,322.974,1.30032,0.20108,0.02337,0.81369,1.23882,0.84743,0.94662,0.94984,0.63601,0.84934,0.94724,0.95016,0.94474,1.21928,0.13685,0.00226,0.73316,1.17724,0.001109,0.001109,0.001109
20,340.048,1.31247,0.19354,0.02766,0.81986,1.24382,0.86291,0.94165,0.95474,0.63487,0.86168,0.93793,0.95425,0.94537,1.21259,0.13799,0.00311,0.72024,1.17748,0.0010595,0.0010595,0.0010595
21,357.078,1.29527,0.19856,0.02125,0.79766,1.22251,0.84196,0.95571,0.95096,0.64007,0.8436,0.95757,0.9521,0.94377,1.1946,0.13511,0.00278,0.73111,1.16772,0.00101,0.00101,0.00101
22,374.072,1.2544,0.18892,0.0267,0.78661,1.23151,0.85884,0.9491,0.95811,0.65441,0.86198,0.95034,0.95915,0.95308,1.17051,0.12825,0.00251,0.70989,1.15675,0.0009605,0.0009605,0.0009605
23,391.15,1.2349,0.186,0.023,0.77358,1.2055,0.86665,0.95211,0.96176,0.65729,0.86838,0.95158,0.96151,0.95516,1.1516,0.12824,0.0022,0.71628,1.15011,0.000911,0.000911,0.000911
24,408.147,1.20168,0.15932,0.01876,0.78304,1.19133,0.85144,0.93606,0.958,0.66479,0.85093,0.93896,0.95811,0.95367,1.14695,0.12617,0.00248,0.70536,1.14123,0.0008615,0.0008615,0.0008615
25,425.479,1.22568,0.17515,0.0222,0.75773,1.19596,0.8668,0.94165,0.96126,0.66958,0.86623,0.94103,0.96104,0.95585,1.12023,0.12305,0.00228,0.69847,1.13246,0.000812,0.000812,0.000812
26,442.601,1.20398,0.17321,0.02143,0.77175,1.19045,0.86014,0.94676,0.96047,0.6747,0.86127,0.948,0.96104,0.95436,1.11089,0.12632,0.00204,0.6844,1.12836,0.0007625,0.0007625,0.0007625
27,459.529,1.21048,0.19178,0.02143,0.76357,1.18492,0.87605,0.95531,0.966,0.67462,0.87548,0.95469,0.96575,0.9609,1.1169,0.12377,0.0023,0.68268,1.13242,0.000713,0.000713,0.000713
28,476.505,1.19535,0.17216,0.02471,0.74751,1.17028,0.87784,0.94565,0.96772,0.67902,0.87784,0.94565,0.96789,0.96417,1.10333,0.11688,0.00285,0.67249,1.12629,0.0006635,0.0006635,0.0006635
29,493.708,1.16282,0.16278,0.01608,0.73615,1.1643,0.86857,0.96214,0.96588,0.6942,0.87071,0.96462,0.96625,0.96405,1.06235,0.11879,0.00177,0.66304,1.10819,0.000614,0.000614,0.000614
30,510.809,1.13898,0.1625,0.02181,0.73015,1.15285,0.87199,0.95158,0.96389,0.69229,0.87279,0.95407,0.96347,0.95973,1.06858,0.1143,0.0017,0.67266,1.10889,0.0005645,0.0005645,0.0005645
31,546.12,1.15806,0.1719,0.01999,0.74226,1.16036,0.87979,0.94951,0.969,0.69285,0.88037,0.95013,0.96949,0.96631,1.07493,0.11396,0.00214,0.66585,1.11089,0.000515,0.000515,0.000515
32,563.07,1.13772,0.17011,0.01891,0.72121,1.15228,0.88983,0.95763,0.96891,0.70136,0.88768,0.96214,0.96873,0.9654,1.05615,0.11491,0.00212,0.64742,1.10513,0.0004655,0.0004655,0.0004655
33,579.948,1.11617,0.1568,0.02462,0.7076,1.15351,0.88095,0.96276,0.96971,0.706,0.8821,0.96132,0.96979,0.96624,1.03584,0.11197,0.00188,0.64784,1.09837,0.000416,0.000416,0.000416
34,596.749,1.11354,0.15549,0.01762,0.70575,1.1485,0.8761,0.97,0.9729,0.71428,0.87883,0.96772,0.97284,0.9701,1.02202,0.11047,0.00192,0.63702,1.09822,0.0003665,0.0003665,0.0003665
35,613.712,1.10086,0.15727,0.02053,0.6963,1.13422,0.89192,0.96306,0.97271,0.71588,0.89135,0.96244,0.97233,0.97058,1.00893,0.10797,0.00183,0.63115,1.08608,0.000317,0.000317,0.000317
36,630.597,1.07812,0.14354,0.01893,0.68679,1.12385,0.88208,0.97041,0.97177,0.72097,0.88151,0.96979,0.97137,0.96913,0.99279,0.1063,0.00195,0.6264,1.08121,0.0002675,0.0002675,0.0002675
37,648.429,1.09376,0.15027,0.01847,0.70141,1.13128,0.8985,0.96706,0.97299,0.72537,0.89792,0.96644,0.97273,0.97081,0.98221,0.1056,0.00178,0.62249,1.07653,0.000218,0.000218,0.000218
38,665.372,1.05977,0.14582,0.01722,0.69322,1.11952,0.89083,0.96742,0.97284,0.72024,0.89026,0.9668,0.97271,0.97056,0.9909,0.10606,0.00164,0.62428,1.07729,0.0001685,0.0001685,0.0001685
39,682.385,1.06273,0.14438,0.02198,0.68096,1.11399,0.88946,0.97207,0.97305,0.72668,0.88889,0.97145,0.97281,0.97094,0.97704,0.10498,0.00177,0.6194,1.07327,0.000119,0.000119,0.000119
40,699.343,1.04673,0.15304,0.02205,0.67322,1.1137,0.88921,0.97152,0.974,0.73199,0.88864,0.9709,0.97382,0.97207,0.96605,0.10389,0.0018,0.61516,1.06853,6.95e-05,6.95e-05,6.95e-05
