K,num_images,mAP50,mAP50_95,precision,recall
50,50,0.9942399540757749,0.7471564043296406,0.9701099529601793,0.9986631691531754
100,100,0.9911544919199741,0.731955381808366,0.9741838971137547,0.9649122807017544
200,200,0.9911968029230571,0.761735074629667,0.946502916165834,0.9749303621169917
400,400,0.9872370955832722,0.7612919933766144,0.9604523034032456,0.9627413742577827
800,800,0.9805487208225838,0.7350797114643006,0.9341902613981582,0.9559279950341403
