epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8205,1.10018,0.36265,0.07466,0.77222,1.16257,0.98094,0.96875,0.99137,0.76475,0.98094,0.96875,0.99153,0.97473,0.94414,0.34783,0.01862,0.59701,1.06507,0.00016,0.00016,0.00016
2,22.0463,1.05324,0.24804,0.057,0.71075,1.10388,0.96771,0.93662,0.98793,0.74187,0.96864,0.9375,0.9881,0.96485,1.01333,0.25777,0.01826,0.60658,1.05746,0.000331763,0.000331763,0.000331763
3,24.0039,1.24419,0.33311,0.03293,0.74635,1.22918,0.97825,0.9375,0.99049,0.72423,0.97825,0.9375,0.99049,0.95791,0.98149,0.25958,0.0201,0.57976,1.04768,0.000470841,0.000470841,0.000470841
4,25.9469,1.11753,0.34431,0.0523,0.66029,1.11383,0.96915,0.98167,0.99065,0.71964,0.96915,0.98167,0.99065,0.95148,0.99622,0.25383,0.0213,0.57197,1.04945,0.000557168,0.000557168,0.000557168
5,27.9017,1.18101,0.35789,0.05648,0.65099,1.19808,0.94623,0.98438,0.99156,0.72869,0.94623,0.98438,0.99156,0.96102,1.07955,0.28237,0.0169,0.58083,1.07371,0.000579008,0.000579008,0.000579008
6,29.8266,1.06218,0.327,0.0728,0.62489,1.08442,0.96905,0.97837,0.99244,0.74927,0.96899,0.9766,0.99289,0.9705,0.96184,0.31034,0.01524,0.57139,1.04556,0.0005353,0.0005353,0.0005353
7,31.7782,1.06192,0.2,0.06699,0.62667,1.15802,0.9655,0.98438,0.99271,0.75893,0.9655,0.98438,0.99331,0.96756,0.92071,0.30647,0.0151,0.56952,1.03913,0.000436525,0.000436525,0.000436525
8,33.7034,1.09432,0.2467,0.04639,0.65102,1.10944,0.96954,0.99473,0.99345,0.76739,0.96954,0.99473,0.99345,0.97322,0.92435,0.29831,0.01759,0.56738,1.03278,0.000303946,0.000303946,0.000303946
9,35.7666,1.04116,0.26109,0.06799,0.6711,1.11134,0.97572,0.98438,0.99361,0.76771,0.97572,0.98438,0.99361,0.97318,0.91939,0.28642,0.01777,0.56653,1.03006,0.000167259,0.000167259,0.000167259
10,37.8,0.99773,0.23525,0.06454,0.58383,1.08582,0.9787,0.98438,0.99349,0.76086,0.9787,0.98438,0.99349,0.97461,0.9257,0.28056,0.01844,0.56612,1.03173,6.09241e-05,6.09241e-05,6.09241e-05
