iteration,selected_index,min_distance,max_distance,mean_distance
1,1653,0.0,0.8321039831695471,0.67895346160865
2,2780,0.0,0.720895572580285,0.4994233774744298
3,3092,0.0,0.6568074890794264,0.4669041251780578
4,1376,0.0,0.624826211275038,0.45839135680126614
5,2395,0.0,0.6048810995277485,0.4575151758565066
6,734,0.0,0.5824305657774409,0.42876694816980987
7,539,0.0,0.5817199752677669,0.4243140945976412
8,1964,0.0,0.5500757960424951,0.41089613442392225
9,1181,0.0,0.5279431582542327,0.4056976205287625
10,203,0.0,0.5222679889738562,0.4024725333204305
11,1908,0.0,0.5221309351947803,0.3996350412820845
12,1117,0.0,0.5113674588435462,0.39245918736863916
13,2585,0.0,0.5069757129603986,0.39048209014962
14,1866,0.0,0.4965951861071339,0.3837113128031667
15,775,0.0,0.4888593722741131,0.38109113593298877
16,2486,0.0,0.48285018480994835,0.3794421748662871
17,806,0.0,0.4822021953598206,0.3770694007884293
18,2839,0.0,0.4773467383905308,0.37478708756690055
19,407,0.0,0.47695243039060026,0.37205320439766126
20,2375,0.0,0.4747550307807969,0.3703800589275566
21,303,0.0,0.4736085471562031,0.36960405287892717
22,1074,0.0,0.47228511085959707,0.36871391472565884
23,987,0.0,0.468893367838661,0.3650438222149943
24,230,0.0,0.4662670566184958,0.3634475206441178
25,2156,0.0,0.46483210295004074,0.35934241465430433
26,656,0.0,0.4623039131823424,0.35508333050400936
27,1228,0.0,0.4622581490221881,0.35211168441196095
28,1,0.0,0.4576666986448926,0.35013587245776867
29,1617,0.0,0.4536191351560039,0.34627161820452335
30,2620,0.0,0.44444136073822604,0.34380584512159396
31,2398,0.0,0.4416870818226404,0.34192143554321414
32,1309,0.0,0.4385134427012245,0.3412000545792583
33,607,0.0,0.4381690819281195,0.34027582786458294
34,2284,0.0,0.43593064427395306,0.338997580619785
35,2592,0.0,0.43492895706334406,0.33581053888051904
36,1791,0.0,0.4337910149178656,0.3341556722779824
37,1239,0.0,0.4337663060402286,0.3335797618527411
38,1437,0.0,0.4331260674422961,0.3316185440805479
39,1875,0.0,0.4316905051022414,0.32915113001598323
40,2792,0.0,0.427392578558543,0.3278517278667802
41,2461,0.0,0.42675602653839045,0.32640971428597937
42,2241,0.0,0.426346606227317,0.32279511930420374
43,777,0.0,0.42491409918227047,0.32197390679424537
44,1535,0.0,0.41960049413590883,0.321353143127115
45,166,0.0,0.41839174959610637,0.3209017618633287
46,144,0.0,0.4176934637755947,0.31976777040498927
47,1198,0.0,0.41666249194554,0.3179443295868105
48,3116,0.0,0.4160404014538677,0.31708793391952633
