image_path,uncertainty_score,selected_rank
datasets/train_on_2025_all\images\frame_00139_jpg.rf.dd896c90a093cea381d7f1e282f9a3f6.jpg,0.8347916007041931,47
datasets/train_on_2025_all\images\GX010664_MP4-0027_jpg.rf.724cfb36346fcec21e99e36b8e08f511.jpg,0.9968970825430006,48
datasets/train_on_2025_all\images\frame_00109_jpg.rf.ab809a5bfd374d01ed63e215a16bbac8.jpg,0.9197565615177155,49
datasets/train_on_2025_all\images\frame_00115_jpg.rf.09c9e91658ee1d5b68a8417c40f4de19.jpg,0.8499997407197952,50
datasets/train_on_2025_all\images\frame_00119_jpg.rf.8639e4158518e728eca73c00f72f20c0.jpg,0.9305931404232979,51
datasets/train_on_2025_all\images\GX010666_MP4-0023_jpg.rf.c4503222feffe11366cec7c3faf0e871.jpg,0.7973224222660065,52
datasets/train_on_2025_all\images\frame_00009_jpg.rf.3c5231dd711265c35729c5f88b56f813.jpg,0.9227943792939186,53
datasets/train_on_2025_all\images\frame_00058_jpg.rf.04a8d30f87839b1f4021ac1f50946cce.jpg,0.8709320425987244,54
datasets/train_on_2025_all\val\images\frame_00079_jpg.rf.d073c9519221cd0932708db2c18bc540.jpg,0.8534175008535385,55
datasets/train_on_2025_all\images\frame_00038_jpg.rf.9b85f4e7fa2ffb3ae4ee0c83ccf10172.jpg,0.8039674758911133,56
datasets/train_on_2025_all\images\frame_00176_jpg.rf.384c91dbbd257a2aed4e0987422912a6.jpg,0.7900592386722565,57
datasets/train_on_2025_all\images\GX010665_MP4-0134_jpg.rf.b13059bc41014669614fae18160fa79c.jpg,0.9207746684551239,58
datasets/train_on_2025_all\val\images\frame_00102_jpg.rf.3d45b9a19006e31ed37bf357b24b01c5.jpg,0.8112439066171646,59
datasets/train_on_2025_all\images\GX010666_MP4-0219_jpg.rf.821b03e17a38da7ac301654981fbb814.jpg,0.816835954785347,60
datasets/train_on_2025_all\images\GX010665_MP4-0103_jpg.rf.6c308f1995c3afe5b597a2c45fcc1da3.jpg,0.8330075889825821,61
datasets/train_on_2025_all\images\frame_00062_jpg.rf.cda7b45cf81d89d26a129f2c42870472.jpg,0.970043083652854,62
datasets/train_on_2025_all\images\frame_00082_jpg.rf.c9f07f29ba97dc2a12945eeb9f684914.jpg,0.8572378307580948,63
datasets/train_on_2025_all\images\frame_00125_jpg.rf.39a5f1564f9804e59598bc4bdd2a2c05.jpg,0.7915961891412735,64
datasets/train_on_2025_all\images\frame_00011_jpg.rf.dcabad4bbba54e756b013e97dd23c08e.jpg,0.8447487056255341,65
datasets/train_on_2025_all\images\frame_00079_jpg.rf.54b654e778965e02194d03486e83d614.jpg,0.8549152761697769,66
datasets/train_on_2025_all\images\frame_00018_jpg.rf.91f3dd57c0fd328f0cc84e09ec1f98e0.jpg,0.7883597612380981,67
datasets/train_on_2025_all\images\frame_00053_jpg.rf.d7874e257fcdec1dfe6e28a7cc479e65.jpg,0.8245309591293335,68
datasets/train_on_2025_all\val\images\frame_00045_jpg.rf.633fc43f449e325a7ecef2bc472084f6.jpg,0.8986973389983177,69
datasets/train_on_2025_all\images\frame_00044_jpg.rf.0806309ec042a542cf5927b5b894781d.jpg,0.8975512161850929,70
datasets/train_on_2025_all\images\GX010666_MP4-0062_jpg.rf.390ecd914d57a1dc6adf9647627dd189.jpg,0.9976181397214532,71
datasets/train_on_2025_all\val\images\frame_00095_jpg.rf.6e6bb9618d6b2930ee5177c353f2da9d.jpg,0.9866818832233548,72
datasets/train_on_2025_all\images\frame_00014_jpg.rf.c4e6a8b6f4bd3f38ea22abe07ec20dce.jpg,0.8675437718629837,73
datasets/train_on_2025_all\images\frame_00075_jpg.rf.1a4818da34cacee1cfa1fb3faabfebcd.jpg,0.99515480408445,74
datasets/train_on_2025_all\images\frame_00066_jpg.rf.b1e1879330176dd01704e5050d2fa473.jpg,0.8038767576217651,75
datasets/train_on_2025_all\images\frame_00031_jpg.rf.5cd00e1d69a0ea6e1eefdf7614bc210e.jpg,0.8037972003221512,76
datasets/train_on_2025_all\images\frame_00097_jpg.rf.a404655f7d252186c4f5aee3be75034e.jpg,0.9316780641674995,77
datasets/train_on_2025_all\val\images\frame_00121_jpg.rf.12e93234967f812d13e845668bc04166.jpg,0.8172455132007599,78
datasets/train_on_2025_all\images\frame_00156_jpg.rf.eb22bd8e5f342ca1c241ea75bd8ef2ee.jpg,0.8360057175159454,79
datasets/train_on_2025_all\images\frame_00113_jpg.rf.b9042cd6db344c7189821be6492d1f5c.jpg,0.8561126887798309,80
datasets/train_on_2025_all\images\frame_00024_jpg.rf.405745091316e7ae3d8e3c608cae7a88.jpg,0.856144368648529,81
datasets/train_on_2025_all\images\frame_00020_jpg.rf.cd618e25dc4f5272b7f730cb35aa9153.jpg,0.7960351556539536,82
datasets/train_on_2025_all\images\frame_00042_jpg.rf.5e774e171270363775edce465c0d0178.jpg,0.8819394484162331,83
datasets/train_on_2025_all\images\frame_00097_jpg.rf.23026e3481b08a9bf2cdb18f2d54b3ae.jpg,0.8931323662400246,84
datasets/train_on_2025_all\val\images\frame_00028_jpg.rf.37c96cbf16dcbd9348dc8abe1a6f79ab.jpg,0.7955537587404251,85
datasets/train_on_2025_all\images\frame_00043_jpg.rf.a9851d16b1edbfe41a38f0af00cc5e13.jpg,0.9154676347970963,86
datasets/train_on_2025_all\images\frame_00091_jpg.rf.a42f4601b9810cf874fe445437e60835.jpg,0.8109062165021896,87
datasets/train_on_2025_all\images\frame_00007_jpg.rf.3190f604ce8917bc6c8ad412b5d8e100.jpg,0.8869645670056343,88
datasets/train_on_2025_all\images\GX010667_MP4-0035_jpg.rf.e931147b4dbf4c16e5d0171acc14e5a0.jpg,0.7983241826295853,89
datasets/train_on_2025_all\images\frame_00026_jpg.rf.09b4ff5342fbb09376ad2bcdf68e4b0b.jpg,0.8859225735068321,90
datasets/train_on_2025_all\images\frame_00016_jpg.rf.d34909c5df4e3b53c5709a9edff0138d.jpg,0.8386108875274658,91
datasets/train_on_2025_all\images\frame_00041_jpg.rf.34b9eff779b9cfca8fcde63b31e1c5d2.jpg,0.8471167385578156,92
datasets/train_on_2025_all\val\images\frame_00014_jpg.rf.1a317d65cf64a09942edac87f4f0346d.jpg,0.844412311911583,93
datasets/train_on_2025_all\val\images\frame_00066_jpg.rf.a3cde73d510c0b6d68b9d58f0db1d025.jpg,0.8296414911746979,94
datasets/train_on_2025_all\images\frame_00134_jpg.rf.c4ba0d4d2985c40fcf7e4579b581489a.jpg,0.9010601863265038,95
datasets/train_on_2025_all\images\frame_00164_jpg.rf.c2e99ba68d09104f65eb64f6e905cdcb.jpg,0.7964911311864853,96
datasets/train_on_2025_all\val\images\frame_00087_jpg.rf.7ae06c589f24c04a399eb268b296dcbb.jpg,0.8105703741312027,97
datasets/train_on_2025_all\images\GX010666_MP4-0155_jpg.rf.b3c71857ace56f29fdf0d827a32ce292.jpg,0.8738323450088501,98
datasets/train_on_2025_all\images\GX010666_MP4-0264_jpg.rf.0c5afebcde9c625d909af8070bb5686b.jpg,0.8514084219932556,99
datasets/train_on_2025_all\val\images\frame_00019_jpg.rf.697fb0f2f68c51f5bae3d7953d08b57a.jpg,0.8574624508619308,100
