image_name,basename,distance_to_2024_centroid,nearest_neighbor_distance,MAE_image,detection_success,MAE_total,MAE_carapace
GL010350_00025_gamma.jpg,GL010350_00025_gamma.jpg,0.8094780716034355,0.7129209447540539,2.7206693070663555,1,2.054528828640912,3.386809785491799
GL010350_00063_gamma.jpg,GL010350_00063_gamma.jpg,0.7983346317312319,0.687766055416562,3.437504985360759,1,4.930569302575307,1.9444406681462103
GL010350_00068_gamma.jpg,GL010350_00068_gamma.jpg,0.8189672111372517,0.6410454357509194,6.533399090619726,1,8.635082689610364,4.431715491629088
GX010276_00019_gamma.jpg,GX010276_00019_gamma.jpg,0.7801459965808715,0.6611713762167623,2.906873541144614,1,3.7404496724103056,2.073297409878923
GX010276_00021_gamma.jpg,GX010276_00021_gamma.jpg,0.7950331285873957,0.6659569779938044,1.465566440526486,1,1.8461987231178612,1.0849341579351113
GX010276_00022_gamma.jpg,GX010276_00022_gamma.jpg,0.8386173364360171,0.6867271359957505,2.6611567373739837,1,2.1061446684145118,3.2161688063334557
GX010276_00033_gamma.jpg,GX010276_00033_gamma.jpg,0.7962936636748342,0.589503013112881,5.135120638249547,1,7.868428092913817,2.4018131835852774
GX010276_00036_gamma.jpg,GX010276_00036_gamma.jpg,0.7777408344387111,0.7451298074212219,3.030347811851839,1,4.22808214066329,1.8326134830403884
GX010276_00040_gamma.jpg,GX010276_00040_gamma.jpg,0.7947035968700369,0.6897389376248576,2.934018700932003,1,4.257820737144353,1.610216664719653
GX010276_00118_gamma.jpg,GX010276_00118_gamma.jpg,0.7778399634505643,0.6333902215035874,2.2760568044866663,1,2.9307994955103567,1.6213141134629758
GX010276_00119_gamma.jpg,GX010276_00119_gamma.jpg,0.814943412264444,0.6296127281997866,5.502582864557782,1,6.374634172133341,4.6305315569822225
GX010276_00120_gamma.jpg,GX010276_00120_gamma.jpg,0.8076421848810376,0.7412941629830259,4.037183613288633,1,4.833183680100465,3.241183546476802
GX010276_00121_gamma.jpg,GX010276_00121_gamma.jpg,0.7922535108229808,0.7061301774611465,1.9822123944574592,1,3.422031176505886,0.5423936124090325
GX010276_00122_gamma.jpg,GX010276_00122_gamma.jpg,0.7662201398090076,0.6995228332671943,0.2453055726666893,1,0.2630349206185514,0.2275762247148272
GX010276_00144_gamma.jpg,GX010276_00144_gamma.jpg,0.7246025353509009,0.7475572090517497,1.6141698056242788,1,2.68300167782656,0.5453379334219974
GX010276_00145_gamma.jpg,GX010276_00145_gamma.jpg,0.6979378414785743,0.7339063418369529,2.632950045604044,1,4.87820586488079,0.387694226327298
GX010276_00146_gamma.jpg,GX010276_00146_gamma.jpg,0.77956462379911,0.6516088290443018,1.535102676970915,1,0.8541567799244092,2.216048574017421
GX010276_00147_gamma.jpg,GX010276_00147_gamma.jpg,0.747438066682041,0.6442998155746608,2.880804910095269,1,3.9831077780995088,1.778502042091029
GX010276_00148_gamma.jpg,GX010276_00148_gamma.jpg,0.7460980924203572,0.6559345834205842,3.2902550372272517,1,3.2040601686007335,3.37644990585377
GX010276_00149_gamma.jpg,GX010276_00149_gamma.jpg,0.7737073887434024,0.6615640835824574,2.317200188053765,1,2.7966521169206615,1.8377482591868688
GX010276_00164_gamma.jpg,GX010276_00164_gamma.jpg,0.7677986419454327,0.6833308470134225,8.141737136685474,1,10.777496697333916,5.5059775760370355
GX010276_00165_gamma.jpg,GX010276_00165_gamma.jpg,0.7439402099311212,0.6782952315930102,1.2461762519660669,1,2.1738946744798895,0.31845782945224416
GX010276_00166_gamma.jpg,GX010276_00166_gamma.jpg,0.8057643361445158,0.5535686481562808,3.31119742546127,1,4.425248762811876,2.1971460881106646
GX010276_00167_gamma.jpg,GX010276_00167_gamma.jpg,0.8000263451595025,0.593665403340894,1.499832239791263,1,0.5346624156431901,2.4650020639393357
GX010276_00168_gamma.jpg,GX010276_00168_gamma.jpg,0.8285911324411488,0.619070779765929,1.894423348214441,1,3.0717372523556676,0.7171094440732144
GX010276_00169_gamma.jpg,GX010276_00169_gamma.jpg,0.8295556077678657,0.6020461023840847,2.047496636442718,1,1.6278774322338236,2.467115840651612
GX010276_00170_gamma.jpg,GX010276_00170_gamma.jpg,0.7708412430383808,0.6814547023611705,1.9480254927964986,1,3.284416269901797,0.6116347156912001
GX010276_00191_gamma.jpg,GX010276_00191_gamma.jpg,0.6390787400424504,0.7068096444113539,1.8049227315217227,1,3.3453002911923164,0.2645451718511289
GX010276_00192_gamma.jpg,GX010276_00192_gamma.jpg,0.7811548995100273,0.6135750256434519,5.775033188209246,1,8.750580758824057,2.799485617594436
GX010276_00193_gamma.jpg,GX010276_00193_gamma.jpg,0.7414419151768575,0.6565787199196856,4.396084951790115,1,6.846499250943197,1.945670652637033
GX010276_00194_gamma.jpg,GX010276_00194_gamma.jpg,0.7397654603904164,0.7101669091192753,2.604932748083705,1,1.4704755286479667,3.7393899675194433
GX010276_00195_gamma.jpg,GX010276_00195_gamma.jpg,0.9531943650639275,0.6647013241427229,3.0438068777047143,1,3.179617915896813,2.9079958395126155
GX010276_00196_gamma.jpg,GX010276_00196_gamma.jpg,0.8955220426150239,0.7308176800022664,4.171400494512211,1,7.338411579276837,1.004389409747585
GX010276_00197_gamma.jpg,GX010276_00197_gamma.jpg,0.8041297925417934,0.7974017055624254,4.185557964238372,1,4.4750869517423695,3.8960289767343745
GX010276_00198_gamma.jpg,GX010276_00198_gamma.jpg,0.733177304568688,0.7263820056521881,0.7718070496808807,1,0.4069183466399408,1.1366957527218204
GX010276_00209_gamma.jpg,GX010276_00209_gamma.jpg,0.733233515487952,0.7440658892459736,,0,,
GX010276_00210_gamma.jpg,GX010276_00210_gamma.jpg,0.9015325472320427,0.6727422760073631,1.4736650642166467,1,0.4500786330349626,2.4972514953983307
GX010276_00211_gamma.jpg,GX010276_00211_gamma.jpg,0.9525133714461022,0.61779251908875,3.9895844547935084,1,4.032320328609927,3.9468485809770897
GX010276_00212_gamma.jpg,GX010276_00212_gamma.jpg,0.8086225479683783,0.7939620360123322,7.448614133449993,1,10.488312645786516,4.40891562111347
GX010276_00213_gamma.jpg,GX010276_00213_gamma.jpg,0.7836138923021141,0.8086073825024062,3.539117722320692,1,5.905424810603879,1.1728106340375053
GX010276_00214_gamma.jpg,GX010276_00214_gamma.jpg,0.8254545148422793,0.7556404935496879,7.599203519985577,1,11.088624445513084,4.109782594458072
GX010276_00215_gamma.jpg,GX010276_00215_gamma.jpg,0.901874197378803,0.8715936704884759,2.4176802021241386,1,3.415592795255332,1.4197676089929452
GX010276_00216_gamma.jpg,GX010276_00216_gamma.jpg,0.9394784486447122,0.9538397382795065,4.936427834148099,1,8.660863389202973,1.2119922790932254
GX010276_00217_gamma.jpg,GX010276_00217_gamma.jpg,0.8695426486104917,0.8991469117176994,8.339661149670814,1,13.932514440228443,2.7468078591131846
GX010276_00218_gamma.jpg,GX010276_00218_gamma.jpg,0.9450501417415766,0.9440489446225446,4.816620288967471,1,9.226028537287156,0.407212040647785
GX010276_00219_gamma.jpg,GX010276_00219_gamma.jpg,0.7993910154419518,0.7668142173347683,0.13138316994245255,1,0.1686313682137523,0.0941349716711528
GX010276_00220_gamma.jpg,GX010276_00220_gamma.jpg,0.8493239738628318,0.6652571619708305,8.421766219425155,1,9.320761682148984,7.522770756701327
GX010276_00221_gamma.jpg,GX010276_00221_gamma.jpg,0.7790818043281703,0.7459879323543892,106.79445353470838,1,212.7114207832925,0.877486286124249
GX010276_00228_gamma.jpg,GX010276_00228_gamma.jpg,0.8084157601603418,0.6316935193124301,7.555460309095993,1,8.78350647145426,6.327414146737727
