iteration,selected_index,min_distance,max_distance,mean_distance
1,2732,0.0,0.8907334234028869,0.5034566407648983
2,1840,0.0,0.7424050493354983,0.4825427217271639
3,2127,0.0,0.6838092220655245,0.4425993884946884
4,2952,0.0,0.6068883478360657,0.42498946876268245
5,2297,0.0,0.6050023343010916,0.40344649729934323
6,2395,0.0,0.5846544752214508,0.4026813902715161
7,203,0.0,0.5616678204551523,0.3948405349758109
8,240,0.0,0.5274425323363506,0.3893617341707098
9,1962,0.0,0.5184277572730476,0.38492123277449947
10,856,0.0,0.5150337142856305,0.38187543426607734
11,539,0.0,0.5013749488985849,0.38080903817693024
12,781,0.0,0.49485510560343504,0.37852642203551945
13,1903,0.0,0.4914068872338288,0.37480396640900715
14,1529,0.0,0.48638185135194123,0.3722271756518209
15,2046,0.0,0.47971437626396435,0.3690780815300251
16,1314,0.0,0.47773821917088843,0.36772043873235005
17,2780,0.0,0.47728159999890774,0.36559723118365467
18,561,0.0,0.4771220501082005,0.3642122189103088
19,1801,0.0,0.4688868458751815,0.36129980520371646
20,628,0.0,0.46736978226085524,0.3570049560977787
21,61,0.0,0.46383943974395636,0.35451262020486124
22,1256,0.0,0.46184190734730435,0.351510831683688
23,1699,0.0,0.4599255408135024,0.34919167988527294
24,419,0.0,0.45893135509693495,0.3486860047651784
25,2375,0.0,0.457908180703261,0.34749704835529494
26,299,0.0,0.4532669650060243,0.346981669254607
27,934,0.0,0.45127371970622604,0.34591518974208624
28,2769,0.0,0.4487745805076453,0.34454705150880444
29,2620,0.0,0.4444031556281896,0.3415605662264708
30,46,0.0,0.44381240687594736,0.3407302617494895
31,1773,0.0,0.4434292772687285,0.33883971629522835
32,1074,0.0,0.44061912117434343,0.33797875940917066
33,1400,0.0,0.43921733245830313,0.3355842369060651
