iteration,selected_image,R_t,Delta_t,stop_flag
1,C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\val\images\GX010665_MP4-0217_jpg.rf.4bd57d75286e8e0e214a12be1b88193d.jpg,4.749982060007878,,False
2,C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\GX010665_MP4-0217_jpg.rf.368f015f501164054a4d9ab7714e14fe.jpg,4.749982060007878,,False
3,C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\val\images\GX010665_MP4-0217_jpg.rf.e2002a9318e1d506b8faadfbca58652a.jpg,4.749982060007878,,False
4,C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\val\images\GX010665_MP4-0216_jpg.rf.c85471c96f32f29a4552998a0bfef644.jpg,4.749982060007878,,False
5,C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\GX010665_MP4-0216_jpg.rf.ff97c32aad6a49aeb3da458d7e0d0698.jpg,4.749982060007878,,False
6,C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\val\images\GX010665_MP4-0216_jpg.rf.8a9ac800a2be00ba4a6db5a5cd5c6296.jpg,4.749982060007878,,False
7,C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\GX010665_MP4-0200_jpg.rf.1ec1782021a8fdb0d44954fcf9604ea1.jpg,4.749982060007878,,False
8,C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\GX010665_MP4-0200_jpg.rf.1510087345131349beb283e1722503cd.jpg,4.749982060007878,,False
9,C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\GX010665_MP4-0200_jpg.rf.2a90c08cc055c9dec247650a33b8d67e.jpg,4.749982060007878,,False
10,C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\val\images\GX010665_MP4-0201_jpg.rf.f08237b7a1cd9471ca7e44e85896f4b2.jpg,4.749982060007878,,False
11,C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\GX010666_MP4-0178_jpg.rf.d552a067f5d78ef0949e2259b0a93d21.jpg,3.6604964513256983,0.22936625758127024,False
12,C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\frame_00052_jpg.rf.de6d9bc3a82476c22bbce64a3930a770.jpg,3.197049444442963,0.12660769189241847,False
